#{"t_start": 1611321499.4353979, "env_id": "Reacher-v2"}
r,l,t
-70.277552,50,48.073733
-63.399804,50,48.128776
-46.397261,50,48.182377
-68.774788,50,48.23631
-52.797115,50,48.290094
-45.258591,50,48.343531
-50.737432,50,48.396923
-53.521414,50,48.450939
-70.558849,50,48.505944
-59.430824,50,48.559303
-46.568739,50,48.612309
-62.834707,50,48.667445
-59.011981,50,48.720587
-60.675493,50,48.774837
-51.018734,50,48.828564
-55.193316,50,48.882736
-59.947964,50,48.935759
-65.104204,50,50.511887
-63.510116,50,50.569052
-63.041064,50,50.622719
-45.318339,50,50.676968
-68.211176,50,50.729967
-56.536103,50,50.784835
-65.090491,50,50.838217
-57.00509,50,50.891822
-42.499912,50,50.945094
-46.570846,50,50.998774
-53.338567,50,51.052412
-54.887944,50,51.106522
-47.41724,50,51.159983
-50.281052,50,51.213682
-50.784468,50,51.267784
-57.592327,50,51.321108
-40.555299,50,51.374594
-65.318778,50,51.427892
-54.733373,50,51.482187
-66.308944,50,51.536169
-52.306679,50,51.589832
-68.700668,50,51.643872
-57.658951,50,51.698129
-53.583316,50,51.752609
-56.640694,50,51.806165
-50.827402,50,51.860349
-55.480171,50,51.914198
-54.54253,50,51.967479
-59.352315,50,52.021235
-49.213226,50,52.075135
-50.126939,50,52.128759
-58.387478,50,52.182248
-46.054995,50,52.236102
-51.444804,50,52.290874
-53.948829,50,52.344351
-63.443171,50,52.397905
-45.743299,50,52.452091
-50.978591,50,52.506088
-51.410117,50,52.560045
-52.475995,50,52.614298
-51.263769,50,52.667725
-58.022296,50,54.255654
-48.187993,50,54.312393
-46.335807,50,54.366665
-60.61118,50,54.420475
-49.110457,50,54.475583
-42.842293,50,54.529404
-65.160257,50,54.583418
-44.854126,50,54.638726
-57.639167,50,54.692804
-54.41973,50,54.747262
-52.381828,50,54.802804
-51.754704,50,54.85732
-45.480166,50,54.911663
-47.444041,50,54.965725
-51.683147,50,55.019964
-63.185897,50,55.073953
-55.019616,50,55.127882
-47.673107,50,55.181309
-62.640499,50,55.235836
-41.699789,50,55.289634
-51.434844,50,55.343859
-56.118392,50,55.397425
-52.499352,50,55.451453
-51.724818,50,55.505258
-57.865818,50,55.559694
-51.000267,50,55.613516
-53.938618,50,55.667321
-52.933078,50,55.721042
-53.073015,50,55.776208
-43.609207,50,55.830396
-52.102497,50,55.885177
-53.428468,50,55.938507
-49.728493,50,55.992083
-54.673836,50,56.046406
-41.935171,50,56.10054
-46.4397,50,56.154326
-55.214399,50,56.208565
-57.839886,50,56.262845
-52.831525,50,56.31701
-58.730388,50,56.370872
-58.400647,50,56.424571
-50.971312,50,58.005197
-47.6933,50,58.061099
-46.132676,50,58.115238
-62.305338,50,58.169554
-53.996053,50,58.223792
-47.345742,50,58.278198
-49.121544,50,58.331733
-50.896742,50,58.385399
-53.509792,50,58.439339
-39.133745,50,58.493412
-45.06346,50,58.547358
-55.088797,50,58.601406
-43.192215,50,58.655834
-45.632782,50,58.709733
-47.607146,50,58.763809
-41.806041,50,58.819508
-46.669001,50,58.873938
-45.750987,50,58.927774
-48.012319,50,58.981461
-44.276505,50,59.035316
-48.546016,50,59.089602
-48.892735,50,59.143754
-53.294239,50,59.197538
-56.71334,50,59.252207
-53.624822,50,59.305938
-54.037659,50,59.360027
-41.372842,50,59.41402
-44.537852,50,59.468114
-48.44446,50,59.52233
-43.574299,50,59.576812
-53.458024,50,59.631482
-48.676957,50,59.68542
-56.630405,50,59.739155
-56.076204,50,59.794082
-53.844934,50,59.848685
-40.090141,50,59.903189
-44.349094,50,59.957615
-47.051879,50,60.011168
-40.984857,50,60.065406
-49.972959,50,60.119311
-51.01652,50,60.172951
-50.435779,50,61.755133
-44.842709,50,61.811765
-47.022386,50,61.866272
-44.782359,50,61.920034
-40.748555,50,61.974407
-49.550111,50,62.02843
-39.064497,50,62.082549
-40.583225,50,62.136704
-43.56488,50,62.190813
-39.724233,50,62.24473
-49.950615,50,62.298962
-43.917509,50,62.352573
-38.363507,50,62.405988
-41.501746,50,62.460231
-38.140842,50,62.514155
-37.617172,50,62.567885
-41.728463,50,62.621752
-46.257326,50,62.675755
-40.051211,50,62.729524
-31.986845,50,62.783421
-52.692441,50,62.838158
-36.479773,50,62.891713
-42.877068,50,62.945413
-45.683783,50,62.999078
-34.222771,50,63.053083
-43.368861,50,63.107198
-42.223857,50,63.160587
-42.283904,50,63.214374
-49.76955,50,63.268699
-43.471717,50,63.322075
-41.389996,50,63.375634
-41.33401,50,63.429589
-48.621681,50,63.485301
-42.136306,50,63.540119
-37.90207,50,63.594333
-43.596934,50,63.648425
-60.146725,50,63.7023
-43.838013,50,63.756044
-54.552833,50,63.810447
-42.674049,50,63.86447
-36.23837,50,63.918389
-55.15,50,65.50477
-35.16279,50,65.559269
-39.363415,50,65.613214
-35.783889,50,65.66745
-50.772401,50,65.721274
-39.926707,50,65.775183
-40.960209,50,65.830669
-39.673312,50,65.885455
-52.074861,50,65.940912
-44.098602,50,65.995107
-50.904022,50,66.049531
-45.974954,50,66.103822
-44.219627,50,66.157731
-39.247554,50,66.211868
-45.104471,50,66.265863
-41.436466,50,66.319833
-38.753213,50,66.373226
-47.787316,50,66.426972
-44.966609,50,66.481452
-39.235448,50,66.5353
-40.390633,50,66.588841
-49.380623,50,66.643209
-45.112588,50,66.69667
-41.356355,50,66.750128
-42.975976,50,66.803867
-48.882306,50,66.858222
-52.776883,50,66.912234
-42.579065,50,66.965746
-39.947316,50,67.019679
-51.580403,50,67.07373
-44.933584,50,67.12766
-58.315017,50,67.181248
-44.562212,50,67.235259
-44.255004,50,67.288677
-53.794371,50,67.342718
